country_alpha,country,respno,rawidentity,dv_identity,region,age,gender,ethndom,employment,educ,poltransform,econtransform,socialtransform,colyears,colpower,colpopulation,coastal,loggdp1980,loggdp2013,conflictyears,democ2013
5,BDI,BDI0172,5,1,EA,22,0,1,3,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0173,5,1,EA,72,0,1,2,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0174,5,1,EA,56,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0175,5,1,EA,56,0,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0176,5,1,EA,19,0,1,0,5,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0177,5,1,EA,44,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0178,5,1,EA,18,1,1,0,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0179,5,1,EA,30,0,0,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0180,5,1,EA,53,1,0,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0181,5,1,EA,36,0,1,0,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0182,5,1,EA,36,0,0,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0183,5,1,EA,52,1,0,1,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0184,5,1,EA,47,0,0,3,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0185,5,1,EA,38,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0186,5,1,EA,48,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0187,1,0,EA,55,0,1,1,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0188,4,1,EA,32,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0189,5,1,EA,32,0,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0190,5,1,EA,50,0,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0191,5,1,EA,60,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0192,2,0,EA,54,0,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0193,5,1,EA,47,0,0,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0195,5,1,EA,28,0,1,3,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0196,4,1,EA,21,1,1,3,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0197,5,1,EA,37,1,1,2,5,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0198,5,1,EA,37,0,1,2,8,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0199,5,1,EA,55,1,0,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
